Transcript PK, Syllable PK, Sequence PK
pæk, æk, 1
pæk'men, æk, 1
pæk'men, en, 2
pækt, æk, 1
pæn, æn, 1
pærədi, ær, 1
pærədi, əd, 2
pæsɪdʒ, æs, 1
pæsɪdʒ, ydʒ, 2
pætə(r), æt, 1
pætə(r), ər, 2
pætʃ, ætʃ, 1
pɑ(r)ˈtɪsɪˌpeɪtɪŋ, ys, 1
pɑ(r)ˈtɪsɪˌpeɪtɪŋ, yp, 2
pɑ(r)ˈtɪsɪˌpeɪtɪŋ, eɪt, 3
pɑ(r)ˈtɪsɪˌpeɪtɪŋ, yŋ, 4
pɑsərbaɪ, ər, 1
pɑː(r)dən, ɑːr, 1
pɑː(r)dən, ən, 2
pɑː(r)k, ɑːr, 1
pɑː(r)t, ɑːr, 1
pɑː(r)ʃəl, ɑːr, 1
pɑː(r)ʃəl, əl, 2
pɑː(r)ʃəli, ɑːr, 1
pɑː(r)ʃəli, əl, 2
pɑː(r)ˈtɪsɪpeɪt, ɑːr, 1
pɑː(r)ˈtɪsɪpeɪt, ys, 2
pɑː(r)ˈtɪsɪpeɪt, yp, 3
pɑː(r)ˈtɪsɪpeɪt, eɪt, 4
pɑː(r)ˈtɪsɪpənt, ɑːr, 1
pɑː(r)ˈtɪsɪpənt, ys, 2
pɑː(r)ˈtɪsɪpənt, yp, 3
pɑː(r)ˈtɪsɪpənt, ən, 4
pɑːs, ɑːs, 1
pɒlɪʃt, ɒl, 1
pɒlɪʃt, yʃ, 2
pɒnd, ɒn, 1
pɒnʃɒn, ɒn, 1
pɒnʃɒn, ɒn, 2
pɒt, ɒt, 1
pɔɪnt, ɔɪn, 1
pɔɪnts, ɔɪn, 1
pɔɪzd, ɔɪz, 1
pɔː(r), ɔːr, 1
pɔː(r)tʃʊgiːz, ɔːr, 1
pɔː(r)tʃʊgiːz, ʊg, 2
pɔː(r)tʃʊgiːz, iːz, 3
pɔː(r)tˈfəʊliəʊ, ɔːr, 1
pɔː(r)tˈfəʊliəʊ, əʊl, 2
pɔː(r)ˈtreɪ, ɔːr, 1
pɔːpə(r), ɔːp, 1
pɔːpə(r), ər, 2
pɔːz, ɔːz, 1
pə'hæps, æp, 1
pə(r), ər, 1
pə(r)ˈfɔː(r)m, ər, 1
pə(r)ˈfɔː(r)m, ɔːr, 2
pə(r)ˈfɔː(r)mə(r), ər, 1
pə(r)ˈfɔː(r)mə(r), ɔːr, 2
pə(r)ˈfɔː(r)mə(r), ər, 3
pə(r)ˈfɔː(r)məns, ər, 1
pə(r)ˈfɔː(r)məns, ɔːr, 2
pə(r)ˈfɔː(r)məns, ən, 3
pə(r)ˈmɪt, ər, 1
pə(r)ˈmɪt, yt, 2
pə(r)ˈpɔː(r)t, ər, 1
pə(r)ˈpɔː(r)t, ɔːr, 2
pə(r)ˈpɔː(r)tɪd, ər, 1
pə(r)ˈpɔː(r)tɪd, ɔːr, 2
pə(r)ˈpɔː(r)tɪd, yd, 3
pə(r)ˈsepʃ(ə)n, ər, 1
pə(r)ˈsepʃ(ə)n, ep, 2
pə(r)ˈsepʃ(ə)n, ən, 3
pə(r)ˈsiːv, ər, 1
pə(r)ˈsiːv, iːv, 2
pə(r)ˈsjuː, ər, 1
pə(r)ˈsweɪd, ər, 1
pə(r)ˈsweɪd, eɪd, 2
pə(r)ˈsɪst, ər, 1
pə(r)ˈsɪst, ys, 2
pə(r)ˈteɪn, ər, 1
pə(r)ˈteɪn, eɪn, 2
pə(r)ˈveɪd, ər, 1
pə(r)ˈveɪd, eɪd, 2
pəlɪtɪkəl, əl, 1
pəlɪtɪkəl, yt, 2
pəlɪtɪkəl, yk, 3
pəlɪtɪkəl, əl, 4
pəzeʃən, əz, 1
pəzeʃən, eʃ, 2
pəzeʃən, ən, 3
pəʊl, əʊl, 1
pəʊst, əʊs, 1
pəʊsˈpəʊn, əʊs, 1
pəʊsˈpəʊn, əʊn, 2
pəʊtʃ, əʊtʃ, 1
pəʊz, əʊz, 1
pəˈliːs, əl, 1
pəˈliːs, iːs, 2
pəˈluːt(ə)nt, əl, 1
pəˈluːt(ə)nt, uːt, 2
pəˈluːt(ə)nt, ən, 3
pəˈruːviən, ər, 1
pəˈruːviən, uːv, 2
pəˈteɪtəʊ, ət, 1
pəˈteɪtəʊ, eɪt, 2
pəˈtrəʊl, ət, 1
pəˈtrəʊl, əʊl, 2
pəˈzɪʃ(ə)n, əz, 1
pəˈzɪʃ(ə)n, yʃ, 2
pəˈzɪʃ(ə)n, ən, 3
pəθetɪk, əθ, 1
pəθetɪk, et, 2
pəθetɪk, yk, 3
pɜ:sən, ən, 1
pɜː(r)fjuːm, ɜːr, 1
pɜː(r)fjuːm, uːm, 2
pɜː(r)fɪkt, ɜːr, 1
pɜː(r)fɪkt, yk, 2
pɜː(r)k, ɜːr, 1
pɜː(r)sənəl, ɜːr, 1
pɜː(r)sənəl, ən, 2
pɜː(r)sənəl, əl, 3
pɜː(r)sənɪdʒ, ɜːr, 1
pɜː(r)sənɪdʒ, ən, 2
pɜː(r)sənɪdʒ, ydʒ, 3
pɪk, yk, 1
pɪkt, yk, 1
pɪn, yn, 1
pɪnjən, yn, 1
pɪnjən, ən, 2
pɪntʃ, yn, 1
pɪp, yp, 1
pɪrst, yr, 1
pɪstəl, ys, 1
pɪstəl, əl, 2
pɪt, yt, 1
pɪts, yt, 1
pɪtʃ, ytʃ, 1
pɪtʃt, ytʃ, 1
pɪə(r), ɪər, 1
pʊl, ʊl, 1
pʊld, ʊl, 1
pʊlɪŋ, ʊl, 1
pʊlɪŋ, yŋ, 2
pʊt, ʊt, 1
pʊʃ, ʊʃ, 1
pʊʃt, ʊʃ, 1
pʌblɪk, ʌb, 1
pʌblɪk, yk, 2
pʌf, ʌf, 1
pʌls, ʌl, 1
pʌmp, ʌm, 1
pʌti, ʌt, 1
raɪd, aɪd, 1
raɪt, aɪt, 1
raɪtɪŋ, aɪt, 1
raɪtɪŋ, yŋ, 2
raɪz, aɪz, 1
raʊnd, aʊn, 1
rebəl, eb, 1
rebəl, əl, 2
red, ed, 1
regjʊlə(r), eg, 1
regjʊlə(r), ʊl, 2
regjʊlə(r), ər, 3
rekləs, ek, 1
rekləs, əs, 2
rekɪdʒ, ek, 1
rekɪdʒ, ydʒ, 2
relm, el, 1
rent, en, 1
rents, en, 1
repjʊteɪʃən, ep, 1
repjʊteɪʃən, ʊt, 2
repjʊteɪʃən, eɪʃ, 3
repjʊteɪʃən, ən, 4
repɪtɪʃən, ep, 1
repɪtɪʃən, yt, 2
repɪtɪʃən, yʃ, 3
repɪtɪʃən, ən, 4
reslɪŋ, es, 1
reslɪŋ, yŋ, 2
rest, es, 1
resəl, es, 1
resəl, əl, 2
retʃ, etʃ, 1
rezənənt, ez, 1
rezənənt, ən, 2
rezənənt, ən, 3
reɪd, eɪd, 1
reɪdioʊ, eɪd, 1
reɪl, eɪl, 1
reɪn, eɪn, 1
reɪndʒ, eɪn, 1
reɪs, eɪs, 1
reɪt, eɪt, 1
reɪz, eɪz, 1
reɪzd, eɪz, 1
reɪˈʒiːm, eɪʒ, 1
reɪˈʒiːm, iːm, 2
riˈæktə(r), ər, 1
riˈɔː(r)ɡənaɪz, ən, 1
riˈɔː(r)ɡənaɪz, aɪz, 2
riːd, iːd, 1
riːdʒɔɪn, iːdʒ, 1
riːdʒɔɪn, ɔɪn, 2
riːf, iːf, 1
riːl, iːl, 1
riːp, iːp, 1
riːprədʌkʃən, iːp, 1
riːprədʌkʃən, əd, 2
riːprədʌkʃən, ʌk, 3
riːprədʌkʃən, ən, 4
riːsəntli, iːs, 1
riːsəntli, ən, 2
riːtʃ, iːtʃ, 1
riːzənəbəl, iːz, 1
riːzənəbəl, ən, 2
riːzənəbəl, əb, 3
riːzənəbəl, əl, 4
riːəlɪstɪk, əl, 1
riːəlɪstɪk, ys, 2
riːəlɪstɪk, yk, 3
riːəʃʊə(r), əʃ, 1
riːəʃʊə(r), ʊər, 2
riːˈfɜː(r)bɪʃ, iːf, 1
riːˈfɜː(r)bɪʃ, ɜːr, 2
riːˈfɜː(r)bɪʃ, yʃ, 3
riːˈneɪm, iːn, 1
riːˈneɪm, eɪm, 2
riːˈəʊpən, əʊp, 1
riːˈəʊpən, ən, 2
riːˈɪtəreɪt, yt, 1
riːˈɪtəreɪt, ər, 2
riːˈɪtəreɪt, eɪt, 3
ruːf, uːf, 1
ruːfɪŋ, uːf, 1
ruːfɪŋ, yŋ, 2
ruːl, uːl, 1
ruːld, uːl, 1
ruːm, uːm, 1
ruːt, uːt, 1
ruːtɪd, uːt, 1
ruːtɪd, yd, 2
rægɪd, æg, 1
rægɪd, yd, 2
ræk, æk, 1
ræmp, æm, 1
ræn, æn, 1
rænsəm, æn, 1
rænsəm, əm, 2
ræpɪŋ, æp, 1
ræpɪŋ, yŋ, 2
ræts, æt, 1
ræŋ, æŋ, 1
ræŋk, æŋ, 1
rɑːðə(r), ɑːð, 1
rɑːðə(r), ər, 2
rɒk, ɒk, 1
rɒks, ɒk, 1
rɒtən, ɒt, 1
rɒtən, ən, 2
rɒŋ, ɒŋ, 1
rɒθ, ɒθ, 1
rəʊd, əʊd, 1
rəʊl, əʊl, 1
rəʊld, əʊl, 1
rəʊz, əʊz, 1
rəʊˈdeɪəʊ, əʊd, 1
rəʊˈteɪt, əʊt, 1
rəʊˈteɪt, eɪt, 2
rəˈlɪdʒəs, əl, 1
rəˈlɪdʒəs, ydʒ, 2
rəˈlɪdʒəs, əs, 3
rəˈlɪŋkwɪʃ, əl, 1
rəˈlɪŋkwɪʃ, yŋ, 2
rəˈlɪŋkwɪʃ, yʃ, 3
rɪ'membə, em, 1
rɪ'meɪnd, eɪn, 1
rɪ'plaɪd, aɪd, 1
rɪ'spɒndɪd, ɒn, 1
rɪ'spɒndɪd, yd, 2
rɪ'ælətɪ, æl, 1
rɪ'ælətɪ, ət, 2
rɪd, yd, 1
rɪdɪkjʊləs, yd, 1
rɪdɪkjʊləs, yk, 2
rɪdɪkjʊləs, ʊl, 3
rɪdɪkjʊləs, əs, 4
rɪgret, yg, 1
rɪgret, et, 2
rɪkɔɪl, yk, 1
rɪkɔɪl, ɔɪl, 2
rɪliːf, yl, 1
rɪliːf, iːf, 2
rɪmoʊtli, ym, 1
rɪpent, yp, 1
rɪpent, en, 2
rɪplaɪ, yp, 1
rɪsepʃən, ys, 1
rɪsepʃən, ep, 2
rɪsepʃən, ən, 3
rɪsk, ys, 1
rɪspektəbəl, ys, 1
rɪspektəbəl, ek, 2
rɪspektəbəl, əb, 3
rɪspektəbəl, əl, 4
rɪtɑː(r)dɪd, yt, 1
rɪtɑː(r)dɪd, ɑːr, 2
rɪtɑː(r)dɪd, yd, 3
rɪtən, yt, 1
rɪtən, ən, 2
rɪtʃ, ytʃ, 1
rɪtʃəd, ytʃ, 1
rɪtʃəd, əd, 2
rɪtʃədz, ytʃ, 1
rɪtʃədz, əd, 2
rɪvendʒ, yv, 1
rɪvendʒ, en, 2
rɪvə(r), yv, 1
rɪvə(r), ər, 2
rɪvʌlʃən, yv, 1
rɪvʌlʃən, ʌl, 2
rɪvʌlʃən, ən, 3
rɪðəm, yð, 1
rɪðəm, əm, 2
rɪŋ, yŋ, 1
rɪə(r), ɪər, 1
rɪəl, ɪəl, 1
rɪəlaɪzd, ɪəl, 1
rɪəlaɪzd, aɪz, 2
rɪəlɪ, ɪəl, 1
rɪˈbaʊnd, yb, 1
rɪˈbaʊnd, aʊn, 2
rɪˈbʌf, yb, 1
rɪˈbʌf, ʌf, 2
rɪˈdempʃ(ə)n, yd, 1
rɪˈdempʃ(ə)n, em, 2
rɪˈdempʃ(ə)n, ən, 3
rɪˈdjuːs, yd, 1
rɪˈdjuːs, uːs, 2
rɪˈdjuːst, yd, 1
rɪˈdjuːst, uːs, 2
rɪˈdʌkʃ(ə)n, yd, 1
rɪˈdʌkʃ(ə)n, ʌk, 2
rɪˈdʌkʃ(ə)n, ən, 3
rɪˈdʒekt, ydʒ, 1
rɪˈdʒekt, ek, 2
rɪˈdʒɔɪsɪŋ, ydʒ, 1
rɪˈdʒɔɪsɪŋ, ɔɪs, 2
rɪˈdʒɔɪsɪŋ, yŋ, 3
rɪˈfaɪn, yf, 1
rɪˈfaɪn, aɪn, 2
rɪˈfaɪnəri, yf, 1
rɪˈfaɪnəri, aɪn, 2
rɪˈfaɪnəri, ər, 3
rɪˈfjuːt, yf, 1
rɪˈfjuːt, uːt, 2
rɪˈfjuːz, yf, 1
rɪˈfjuːz, uːz, 2
rɪˈflekt, yf, 1
rɪˈflekt, ek, 2
rɪˈfreɪn, yf, 1
rɪˈfreɪn, eɪn, 2
rɪˈfɔː(r)m, yf, 1
rɪˈfɔː(r)m, ɔːr, 2
rɪˈfɔː(r)mə(r), yf, 1
rɪˈfɔː(r)mə(r), ɔːr, 2
rɪˈfɔː(r)mə(r), ər, 3
rɪˈfɜː(r), yf, 1
rɪˈfɜː(r), ɜːr, 2
rɪˈfɜːrəl, yf, 1
rɪˈfɜːrəl, ɜːr, 2
rɪˈfɜːrəl, əl, 3
rɪˈkleɪm, yk, 1
rɪˈkleɪm, eɪm, 2
rɪˈkruːt, yk, 1
rɪˈkruːt, uːt, 2
rɪˈkuːp, yk, 1
rɪˈkuːp, uːp, 2
rɪˈkwaɪə(r), yk, 1
rɪˈkwaɪə(r), ɪər, 2
rɪˈkwaɪə(r)mənt, yk, 1
rɪˈkwaɪə(r)mənt, ɪər, 2
rɪˈkwaɪə(r)mənt, ən, 3
rɪˈkwest, yk, 1
rɪˈkwest, es, 2
rɪˈkɔː(r)dɪŋ, yk, 1
rɪˈkɔː(r)dɪŋ, ɔːr, 2
rɪˈkɔː(r)dɪŋ, yŋ, 3
rɪˈkɔːl, yk, 1
rɪˈkɔːl, ɔːl, 2
rɪˈkʌvə(r), yk, 1
rɪˈkʌvə(r), ʌv, 2
rɪˈkʌvə(r), ər, 3
rɪˈlaɪ, yl, 1
rɪˈleɪt, yl, 1
rɪˈleɪt, eɪt, 2
rɪˈleɪtɪd, yl, 1
rɪˈleɪtɪd, eɪt, 2
rɪˈleɪtɪd, yd, 3
rɪˈleɪʃ(ə)n, yl, 1
rɪˈleɪʃ(ə)n, eɪʃ, 2
rɪˈleɪʃ(ə)n, ən, 3
rɪˈleɪʃ(ə)nʃɪp, yl, 1
rɪˈleɪʃ(ə)nʃɪp, eɪʃ, 2
rɪˈleɪʃ(ə)nʃɪp, ən, 3
rɪˈleɪʃ(ə)nʃɪp, yp, 4
rɪˈliːs, yl, 1
rɪˈliːs, iːs, 2
rɪˈliːv, yl, 1
rɪˈliːv, iːv, 2
rɪˈliːvd, yl, 1
rɪˈliːvd, iːv, 2
rɪˈlækst, yl, 1
rɪˈlækst, æk, 2
rɪˈmaɪnd, ym, 1
rɪˈmaɪnd, aɪn, 2
rɪˈmeɪn, ym, 1
rɪˈmeɪn, eɪn, 2
rɪˈmeɪnz, ym, 1
rɪˈmeɪnz, eɪn, 2
rɪˈmeɪnɪŋ, ym, 1
rɪˈmeɪnɪŋ, eɪn, 2
rɪˈmeɪnɪŋ, yŋ, 3
rɪˈmuːv, ym, 1
rɪˈmuːv, uːv, 2
rɪˈmuːvd, ym, 1
rɪˈmuːvd, uːv, 2
rɪˈmɑː(r)k, ym, 1
rɪˈmɑː(r)k, ɑːr, 2
rɪˈmɪt(ə)ns, ym, 1
rɪˈmɪt(ə)ns, yt, 2
rɪˈmɪt(ə)ns, ən, 3
rɪˈnjuːd, yn, 1
rɪˈnjuːd, uːd, 2
rɪˈnjuːəb(ə)lz, yn, 1
rɪˈnjuːəb(ə)lz, əb, 2
rɪˈnjuːəb(ə)lz, əl, 3
rɪˈpeə(r), yp, 1
rɪˈpeə(r), eər, 2
rɪˈpeɪ, yp, 1
rɪˈpeɪd, yp, 1
rɪˈpeɪd, eɪd, 2
rɪˈpeɪmənt, yp, 1
rɪˈpeɪmənt, eɪm, 2
rɪˈpeɪmənt, ən, 3
rɪˈpiːt, yp, 1
rɪˈpiːt, iːt, 2
rɪˈpiːtɪd, yp, 1
rɪˈpiːtɪd, iːt, 2
rɪˈpiːtɪd, yd, 3
rɪˈplenɪʃ, yp, 1
rɪˈplenɪʃ, en, 2
rɪˈplenɪʃ, yʃ, 3
rɪˈpleɪs, yp, 1
rɪˈpleɪs, eɪs, 2
rɪˈpleɪsmənt, yp, 1
rɪˈpleɪsmənt, eɪs, 2
rɪˈpleɪsmənt, ən, 3
rɪˈpɔː(r)t, yp, 1
rɪˈpɔː(r)t, ɔːr, 2
rɪˈpɔː(r)tə(r), yp, 1
rɪˈpɔː(r)tə(r), ɔːr, 2
rɪˈpɔː(r)tə(r), ər, 3
rɪˈpɔː(r)tɪŋ, yp, 1
rɪˈpɔː(r)tɪŋ, ɔːr, 2
rɪˈpɔː(r)tɪŋ, yŋ, 3
rɪˈpʌblɪk, yp, 1
rɪˈpʌblɪk, ʌb, 2
rɪˈpʌblɪk, yk, 3
rɪˈpʌblɪkən, yp, 1
rɪˈpʌblɪkən, ʌb, 2
rɪˈpʌblɪkən, yk, 3
rɪˈpʌblɪkən, ən, 4
rɪˈsiːd, ys, 1
rɪˈsiːd, iːd, 2
rɪˈsiːt, ys, 1
rɪˈsiːt, iːt, 2
rɪˈsiːv, ys, 1
rɪˈsiːv, iːv, 2
rɪˈsiːvd, ys, 1
rɪˈsiːvd, iːv, 2
rɪˈspɒnd, ys, 1
rɪˈspɒnd, ɒn, 2
rɪˈspɒndənt, ys, 1
rɪˈspɒndənt, ɒn, 2
rɪˈspɒndənt, ən, 3
rɪˈspɒns, ys, 1
rɪˈspɒns, ɒn, 2
rɪˈspɛkts, ys, 1
rɪˈstreɪnt, ys, 1
rɪˈstreɪnt, eɪn, 2
rɪˈstrɪkt, ys, 1
rɪˈstrɪkt, yk, 2
rɪˈstrɪktɪd, ys, 1
rɪˈstrɪktɪd, yk, 2
rɪˈstrɪktɪd, yd, 3
rɪˈstrɪkʃ(ə)n, ys, 1
rɪˈstrɪkʃ(ə)n, yk, 2
rɪˈstrɪkʃ(ə)n, ən, 3
rɪˈstɔː(r)d, ys, 1
rɪˈstɔː(r)d, ɔːr, 2
rɪˈsɜː(r)tʃə(r), ys, 1
rɪˈsɜː(r)tʃə(r), ɜːr, 2
rɪˈsɜː(r)tʃə(r), ər, 3
rɪˈtaɪə(r), yt, 1
rɪˈtaɪə(r), ɪər, 2
rɪˈtaɪə(r)d, yt, 1
rɪˈtaɪə(r)d, ɪər, 2
rɪˈteɪn, yt, 1
rɪˈteɪn, eɪn, 2
rɪˈtrentʃ, yt, 1
rɪˈtrentʃ, en, 2
rɪˈtreɪs, yt, 1
rɪˈtreɪs, eɪs, 2
rɪˈtriːt, yt, 1
rɪˈtriːt, iːt, 2
rɪˈtɜː(r)n, yt, 1
rɪˈtɜː(r)n, ɜːr, 2
rɪˈvaɪv, yv, 1
rɪˈvaɪv, aɪv, 2
rɪˈvaɪz, yv, 1
rɪˈvaɪz, aɪz, 2
rɪˈviːl, yv, 1
rɪˈviːl, iːl, 2
rɪˈviːlɪŋ, yv, 1
rɪˈviːlɪŋ, iːl, 2
rɪˈviːlɪŋ, yŋ, 3
rɪˈvjuː, yv, 1
rɪˈvəʊk, yv, 1
rɪˈvəʊk, əʊk, 2
rɪˈvəʊlt, yv, 1
rɪˈvəʊlt, əʊl, 2
rɪˈvɜː(r)bəreɪt, yv, 1
rɪˈvɜː(r)bəreɪt, ɜːr, 2
rɪˈvɜː(r)bəreɪt, ər, 3
rɪˈvɜː(r)bəreɪt, eɪt, 4
rɪˈvɜː(r)s, yv, 1
rɪˈvɜː(r)s, ɜːr, 2
rɪˈvɪʒ(ə)n, yv, 1
rɪˈvɪʒ(ə)n, yʒ, 2
rɪˈvɪʒ(ə)n, ən, 3
rɪˈwɔː(r)d, yw, 1
rɪˈwɔː(r)d, ɔːr, 2
rɪˈzaɪd, yz, 1
rɪˈzaɪd, aɪd, 2
rɪˈzaɪn, yz, 1
rɪˈzaɪn, aɪn, 2
rɪˈzaɪnd, yz, 1
rɪˈzaɪnd, aɪn, 2
rɪˈzjuːm, yz, 1
rɪˈzjuːm, uːm, 2
rɪˈzɒlv, yz, 1
rɪˈzɒlv, ɒl, 2
rɪˈzɒlvd, yz, 1
rɪˈzɒlvd, ɒl, 2
rɪˈzɔː(r)s, yz, 1
rɪˈzɔː(r)s, ɔːr, 2
rɪˈzɜː(r)v, yz, 1
rɪˈzɜː(r)v, ɜːr, 2
rɪˈzɜː(r)vd, yz, 1
rɪˈzɜː(r)vd, ɜːr, 2
rɪˈzɪst, yz, 1
rɪˈzɪst, ys, 2
rɪˈzʌlt, yz, 1
rɪˈzʌlt, ʌl, 2
rɪˈɡeɪn, eɪn, 1
rɪˈɡreʃ(ə)n, eʃ, 1
rɪˈɡreʃ(ə)n, ən, 2
rɪˈɡɑː(r)d, ɑːr, 1
rɪˈɡɑː(r)dɪŋ, ɑːr, 1
rɪˈɡɑː(r)dɪŋ, yŋ, 2
rɪˌspɒnsəˈbɪləti, ys, 1
rɪˌspɒnsəˈbɪləti, ɒn, 2
rɪˌspɒnsəˈbɪləti, əb, 3
rɪˌspɒnsəˈbɪləti, yl, 4
rɪˌspɒnsəˈbɪləti, ət, 5
rɪˌtaɪəˈriː, yt, 1
rɪˌtaɪəˈriː, ɪər, 2
rʊmz, ʊm, 1
rʌn, ʌn, 1
rʌʃ, ʌʃ, 1
rʌʃt, ʌʃ, 1
saɪd, aɪd, 1
saɪdəl, aɪd, 1
saɪdəl, əl, 2
saɪdɪd, aɪd, 1
saɪdɪd, yd, 2
saɪk, aɪk, 1
saɪlənt, aɪl, 1
saɪlənt, ən, 2
saɪn, aɪn, 1
saɪt, aɪt, 1
saɪtləs, aɪt, 1
saɪtləs, əs, 2
saɪz, aɪz, 1
saɪð, aɪð, 1
saʊnd, aʊn, 1
saʊndz, aʊn, 1
sed, ed, 1
sekənd, ek, 1
sekənd, ən, 2
sekəndz, ek, 1
sekəndz, ən, 2
sel, el, 1
self, el, 1
seljʊlə(r), el, 1
seljʊlə(r), ʊl, 2
seljʊlə(r), ər, 3
selə(r), el, 1
selə(r), ər, 2
send, en, 1
sens, en, 1
sensəs, en, 1
sensəs, əs, 2
sent, en, 1
sentə(r), en, 1
sentə(r), ər, 2
sentʃəri, en, 1
sentʃəri, ər, 2
serɪməni, er, 1
serɪməni, ym, 2
serɪməni, ən, 3
seseɪʃən, es, 1
seseɪʃən, eɪʃ, 2
seseɪʃən, ən, 3
set, et, 1
setəlɪŋ, et, 1
setəlɪŋ, əl, 2
setəlɪŋ, yŋ, 3
sevrəl, ev, 1
sevrəl, əl, 2
sevərəns, ev, 1
sevərəns, ər, 2
sevərəns, ən, 3
seɪf, eɪf, 1
seɪk, eɪk, 1
seɪkrɪd, eɪk, 1
seɪkrɪd, yd, 2
seɪl, eɪl, 1
seɪm, eɪm, 1
seɪn, eɪn, 1
seɪnts, eɪn, 1
seɪtən, eɪt, 1
seɪtən, ən, 2
seɪv, eɪv, 1
seɪvəri, eɪv, 1
seɪvəri, ər, 2
seɪz, eɪz, 1
sfɪə(r), ɪər, 1
siːd, iːd, 1
siːk, iːk, 1
siːkɪŋ, iːk, 1
siːkɪŋ, yŋ, 2
siːl, iːl, 1
siːm, iːm, 1
siːn, iːn, 1
siːs, iːs, 1
siːt, iːt, 1
siːz, iːz, 1
skaʊl, aʊl, 1
skeə(r)d, eər, 1
skeɪl, eɪl, 1
skiːm, iːm, 1
skjuːd, uːd, 1
skreɪp, eɪp, 1
skri:mɪŋ, yŋ, 1
skriːm, iːm, 1
skriːn, iːn, 1
skræbəl, æb, 1
skræbəl, əl, 2
skræp, æp, 1
skræps, æp, 1
skuːl, uːl, 1
skuːp, uːp, 1
skweə(r), eər, 1
skweə(r)d, eər, 1
skwiːz, iːz, 1
skɑː(r), ɑːr, 1
skɒts, ɒt, 1
skɔː(r), ɔːr, 1
skɔː(r)tʃ, ɔːr, 1
skɪd, yd, 1
skɪl, yl, 1
skɪld, yl, 1
skɪn, yn, 1
skɪp, yp, 1
skʌtəl, ʌt, 1
skʌtəl, əl, 2
slaɪd, aɪd, 1
slaɪs, aɪs, 1
slaɪtlɪ, aɪt, 1
slept, ep, 1
sliːk, iːk, 1
sliːp, iːp, 1
sliːpɪŋ, iːp, 1
sliːpɪŋ, yŋ, 2
slæʃ, æʃ, 1
sləʊlɪ, əʊl, 1
slɪd, yd, 1
slɪm, ym, 1
slɪp, yp, 1
slʌmp, ʌm, 1
smaɪl, aɪl, 1
smaɪld, aɪl, 1
smel, el, 1
smelz, el, 1
smuːð, uːð, 1
smæʃt, æʃ, 1
smɑː(r)t, ɑːr, 1
smɔːl, ɔːl, 1
sməʊk, əʊk, 1
sniːk, iːk, 1
snoʊstɔː(r)m, ɔːr, 1
snæk, æk, 1
snæp, æp, 1
snæpt, æp, 1
snætʃ, ætʃ, 1
snɔː(r)t, ɔːr, 1
snɪf, yf, 1
snɪə(r), ɪər, 1
snʌfəl, ʌf, 1
snʌfəl, əl, 2
soʊleəriəm, eər, 1
soʊʃəl, əl, 1
spaɪk, aɪk, 1
spel, el, 1
spend, en, 1
spent, en, 1
speə(r), eər, 1
speɪs, eɪs, 1
speɪʃəs, eɪʃ, 1
speɪʃəs, əs, 2
spiːd, iːd, 1
spiːk, iːk, 1
spiːkə(r), iːk, 1
spiːkə(r), ər, 2
spiːkɪŋ, iːk, 1
spiːkɪŋ, yŋ, 2
spiːtʃ, iːtʃ, 1
splæʃ, æʃ, 1
splɪt, yt, 1
spred, ed, 1
spuːf, uːf, 1
spuːn, uːn, 1
spæn, æn, 1
spænɪʃ, æn, 1
spænɪʃ, yʃ, 2
spæt, æt, 1
spɑː(r)k, ɑːr, 1
spɒnteɪniəs, ɒn, 1
spɒnteɪniəs, eɪn, 2
spɒt, ɒt, 1
spɔː(r)t, ɔːr, 1
spɔːn, ɔːn, 1
spə'sɪfɪk, yf, 1
spə'sɪfɪk, yk, 2
spəʊk, əʊk, 1
spɜː(r), ɜːr, 1
spɜː(r)n, ɜːr, 1
spɪl, yl, 1
spɪn, yn, 1
spɪndli, yn, 1
spʌn, ʌn, 1
staɪl, aɪl, 1
stedi, ed, 1
stem, em, 1
stentʃ, en, 1
step, ep, 1
steə(r), eər, 1
steəd, eəd, 1
steərɪŋ, eər, 1
steərɪŋ, yŋ, 2
steɪdʒ, eɪdʒ, 1
steɪk, eɪk, 1
steɪt, eɪt, 1
steɪv, eɪv, 1
stiːl, iːl, 1
stiːp, iːp, 1
stoʊlən, ən, 1
straɪdz, aɪd, 1
straɪk, aɪk, 1
stres, es, 1
strest, es, 1
stretʃ, etʃ, 1
stretʃt, etʃ, 1
streŋθ, eŋ, 1
streɪn, eɪn, 1
streɪndʒ, eɪn, 1
streɪndʒlɪ, eɪn, 1
streɪt, eɪt, 1
streɪtfɔː(r)wəʳd, eɪt, 1
streɪtfɔː(r)wəʳd, ɔːr, 2
striːm, iːm, 1
striːt, iːt, 1
strænd, æn, 1
stræpt, æp, 1
strɒŋ, ɒŋ, 1
strɒŋgə, ɒŋ, 1
strɪkt, yk, 1
strɪktli, yk, 1
strɪp, yp, 1
strɪpt, yp, 1
strɪŋ, yŋ, 1
strʌk, ʌk, 1
stægərɪŋ, æg, 1
stægərɪŋ, ər, 2
stægərɪŋ, yŋ, 3
stæk, æk, 1
stæmp, æm, 1
stæmpt, æm, 1
stænd, æn, 1
stæɡˈneɪt, eɪt, 1
stɑ:t'ʌp, ʌp, 1
stɑ:tɪd, yd, 1
stɑː(r), ɑːr, 1
stɑː(r)t, ɑːr, 1
stɑː(r)veɪʃən, ɑːr, 1
stɑː(r)veɪʃən, eɪʃ, 2
stɑː(r)veɪʃən, ən, 3
